,relationRT,relationOneTwo,relationBlueOne,relationBlueTwo,expRT,expButton,exp1,exp2,desire1RT,desire1,desire2RT,desire2,knowledge1RT,knowledge1,attentionCheckRT,attentionCheck,attention1RT,attention1,attention2RT,attentionButton,attentionBulb1,attentionBulb2,id,language,age,gender,condition,totalRT,flat,intentionMean
64,15.792,5,3,9,8.364,1,9,1,2.398,9,3.061,1,4.763,3,7.122,1,11.524,2,8.563,0,0,1,60ddc2639f3e18677ae3e129,English,24,Female,condition 1,2.483716667,FALSE,6
67,26.996,3,3,8,55.686,3,6,6,3.116,6,1.381,6,4.008,4,5.527,4,5.669,2,9.103,0,0,1,5fb590d309dec70ce2efdf3d,Portuguese,21,Male,condition 1,3.669833333,FALSE,5.5
68,61.108,5,5,9,17.412,1,1,9,3.916,1,2.912,9,5.264,9,5.422,1,10.934,2,10.012,0,0,1,60d01f5f9dc279ad4e3b1e38,Hebrew,45,Male,condition 2,4.022116667,FALSE,9
72,27.173,2,2,8,10.085,8,5,6,3.439,6,2.071,7,4.192,6,7.703,6,12.046,2,9.478,1,0,0,57e928630cb6700001dd8f8a,Portuguese,NA,NA,condition 2,3.309016667,FALSE,7
73,10.482,9,1,1,7.862,1,9,9,4.789,5,2.417,7,4.078,1,184.301,8,12.395,2,5.405,0,1,1,610dc2ad620eb33105fa06ef,Dutch,20,Male,condition 1,5.7881,FALSE,7
74,21.922,3,1,8,15.831,3,8,2,2.313,8,2.133,3,5.603,5,7.255,2,11.455,2,9.486,0,0,1,5f919fe5974bb4025abbb92e,Portuguese,20,Male,condition 1,5.509616667,FALSE,7.5
76,13.174,1,1,9,11.947,1,1,9,7.754,1,19.012,9,4.033,9,43.978,1,8.773,2,11.181,1,1,0,5fe1fa69e708b14ca8cc4e18,portuguese,NA,NA,condition 2,3.6018,FALSE,9
77,25.882,3,1,9,18.4,1,3,7,3.847,5,1.48,5,6.166,7,6.683,3,11.042,2,8.502,0,0,1,600577d1fa40d34077955a69,Polish,23,Female,condition 2,3.905316667,FALSE,7.5
78,18.59,3,1,9,10.365,5,1,9,6.464,2,5.224,8,2.559,7,3.16,3,9.943,2,8.791,0,0,1,5eacb952f2859100093a61df,Portuguese,23,Male,condition 1,3.30245,FALSE,7.5
80,43.938,1,9,5,27.867,1,9,2,5.708,9,4.915,2,5.78,7,4.848,1,17.735,2,24.041,0,1,0,6141c6a098c8fd68da3f01f6,IsiXhosa,20,Female,condition 2,5.288433333,FALSE,9
81,20.845,4,7,3,19.308,2,3,3,3.464,3,3.425,3,5.463,4,2.798,4,9.247,2,27.023,0,0,1,5eba98ceb89aff210c709192,Polish,19,Male,condition 2,3.412433333,FALSE,5
83,41.816,1,1,9,25.713,7,1,8,4.976,3,2.487,7,9.574,6,7.926,1,9.243,2,17.398,1,0,1,615ad5bea894bde31da0413e,Arabic,21,Male,condition 2,5.0147,FALSE,8
84,22.662,6,3,8,15.569,5,7,3,17.395,7,17.351,4,5.479,5,7.235,5,16.454,2,7.491,0,0,1,5a05b488120fb30001948623,English,34,Female,condition 1,4.200833333,FALSE,5.5
85,21.611,7,8,4,24.521,2,5,7,3.478,6,1.903,7,10.091,8,5.565,2,14.932,2,60.242,0,0,1,60b68fc2c92926cd9af2733b,Portuguese,22,Female,condition 2,4.969,FALSE,8.5
86,37.145,3,3,9,20.05,1,9,4,11.731,8,5.325,3,8.922,5,10.584,1,9.617,2,12.577,0,0,1,610c0dfdf8c82c7ad69af472,Slovene,21,Female,condition 1,4.469433333,FALSE,8
87,35.949,3,8,3,15.773,8,8,1,5.068,9,3.266,3,6.898,7,10.619,2,16.54,2,16.482,1,1,0,5e9a166d196ab009eb34bcdd,ITALIAN,25,Female,condition 1,4.514233333,FALSE,9
89,243.267,8,2,8,15.541,1,8,2,4.892,1,1.927,9,3.653,5,3.256,2,12.78,2,13.432,0,0,1,5c5108e39c016f0001f53d82,english,43,Male,condition 1,6.997616667,FALSE,7.5
90,36.732,3,2,9,19.754,8,8,2,3.932,8,3.1,2,6.501,8,12.149,2,11.46,2,14.043,0,0,1,5d549deaec261c001a88748f,English,38,Female,condition 1,5.050483333,FALSE,8.5
94,18.206,3,2,6,7.805,2,8,3,6.091,9,3.087,2,3.874,8,6.736,4,15.757,2,10.782,0,0,1,5f19559b9665f700090276c4,English,26,Female,condition 1,2.7311,FALSE,6.5
95,25.581,9,1,1,26.644,1,9,9,5.529,9,2.825,9,6.029,9,7.384,8,8.941,2,11.239,1,1,0,611e4fafd13d36faf98fdb26,Tswana,42,Female,condition 2,3.888966667,FALSE,8.5
96,34.616,3,4,9,22.323,1,5,4,5.926,5,2.318,4,5.348,5,7.352,3,24.541,2,13.864,0,0,1,5f7ed8d8d2ee9b1c24dc6f84,NA,NA,NA,condition 2,3.835366667,FALSE,8
98,28.416,3,1,9,16.544,2,9,2,3.968,9,2.886,1,5.411,6,5.694,1,31.507,2,7.312,0,0,1,60ffe904432e387cabb282b3,Spanish,21,Male,condition 1,3.627616667,FALSE,7
99,27.374,5,1,9,16.414,1,8,2,5.383,9,4.08,1,5.6,4,9.591,7,14.71,2,25.615,0,0,1,5fb6de74ff456813688f32fc,polish,21,Female,condition 1,3.943916667,FALSE,6.5
100,16.712,9,1,9,21.07,4,9,1,2.054,9,1.886,2,2.58,5,6.673,5,4.807,2,4.676,0,0,1,616ffbfe7b44b1236b1fc24e,Finnish,21,Male,condition 1,3.84325,FALSE,6.5
101,24.846,1,1,9,15.668,1,1,9,7.104,1,4.865,9,5.447,9,7.175,1,10.663,2,10.494,0,0,1,5c6d4210a2b39a0001691764,Portuguese,43,Female,condition 2,4.283916667,FALSE,8.5
103,23.648,9,3,8,14.071,9,1,9,6.757,2,7.266,9,5.721,9,4.824,1,24.762,2,14.805,0,0,1,57b6e26a1836cb000137b5ba,English,71,Female,condition 2,4.580183333,FALSE,8
105,46.721,4,3,9,42.819,3,9,1,18.264,9,4.869,1,6.734,3,7.651,7,36.444,2,17.756,0,0,1,60cce970ec57f6ea299895bd,NA,NA,NA,condition 1,5.797966667,FALSE,7
107,123.939,6,4,2,30.826,2,9,2,15.542,8,4.19,2,7.196,7,12.121,4,19.67,2,16.848,0,0,1,61290c984835b674072fc6ac,IsiZULU,21,Male,condition 1,8.511583333,FALSE,7
109,37.886,3,7,9,23.333,1,2,8,4.206,3,2.514,7,3.712,7,8.221,2,17.697,2,10.1,0,0,1,5edb8f751a69d48281214bc1,Portuguese,20,Male,condition 2,4.19435,FALSE,9
