,relationRT,relationOrange,relationBlue,relationOrangeBlue,expRT,expOrange,expBlue,expBoth,intention1RT,intention1,intention2RT,intention2,desireRT,desire,knowledge1RT,knowledge1,attentionCheckRT,attentionCheck,attention1RT,attention1,attention2RT,attentionOrange,attentionBlue,attentionBulb,id,language,age,gender,condition,totalRT,flat,intentionMean,relationBlueNorm,relationOrangeNorm,relationOrangeBlueNorm,max,expBlueNorm,expOrangeNorm,expBothNorm,expectationMax
144,50.536,5,1,9,27.945,7,8,6,8.687,5,10.4,9,5.722,7,13.919,6,10.871,3,13.914,2,45.745,1,0,1,6165adc8da33afc997acf508,Shona,19,Male,condition 2,6.914216667,FALSE,7,0.066666667,0.333333333,0.6,15,0.380952381,0.333333333,0.285714286,21
145,57.702,2,2,9,68.543,1,1,9,7.206,9,7.062,9,9.09,9,74.904,8,9.145,3,99.684,2,130.478,0,0,1,5d9913488b3c7202c8a392a0,polish,33,Female,condition 2,12.54006667,FALSE,9,0.153846154,0.153846154,0.692307692,13,0.090909091,0.090909091,0.818181818,11
146,51.753,8,1,5,49.413,3,8,5,7.866,5,7.488,8,5.4,9,8.982,5,7.439,7,15.789,2,17.853,0,0,1,60f930c46df25698d755230d,English,26,Male,condition 1,13.96666667,FALSE,6.5,0.071428571,0.571428571,0.357142857,14,0.5,0.1875,0.3125,16
147,29.596,5,3,7,33.667,3,7,5,11.832,4,8.292,8,4.061,8,4.994,4,7.738,2,9.314,2,10.404,0,0,1,5c7da4066babcb000185028b,English,46,Male,condition 1,17.14666667,FALSE,6,0.2,0.333333333,0.466666667,15,0.466666667,0.2,0.333333333,15
148,34.016,9,5,9,63.483,5,8,9,26.609,6,12.183,8,8.281,9,12.292,4,11.565,1,37.193,2,30.802,0,0,1,612d86a981a81014cd1cb48f,Xitsonga,24,Female,condition 2,7.594066667,FALSE,7,0.217391304,0.391304348,0.391304348,23,0.363636364,0.227272727,0.409090909,22
149,716.041,2,7,8,18.676,2,5,8,6.831,7,4.093,8,5.379,8,7.239,5,8.773,1,11.055,2,10.679,0,0,1,61516c7d3c833383901cdb54,SPANISH,37,Male,condition 1,19.41136667,FALSE,7.5,0.411764706,0.117647059,0.470588235,17,0.333333333,0.133333333,0.533333333,15
150,47.558,5,5,9,60.414,3,3,8,16.744,7,16.503,7,13.189,7,16.184,7,16.141,2,14.185,2,24.477,0,0,1,61278ed955c9c0f27457ae1b,Zulu,25,Male,condition 2,8.338133333,FALSE,7,0.263157895,0.263157895,0.473684211,19,0.214285714,0.214285714,0.571428571,14
151,31.422,3,3,7,27.324,4,5,9,48.452,4,5.563,7,7.814,7,25.312,4,4.726,3,24.036,2,23.279,0,0,1,612f6349ea2aaf7985d7985f,english,20,Female,condition 2,6.066333333,FALSE,5.5,0.230769231,0.230769231,0.538461538,13,0.277777778,0.222222222,0.5,18
152,30.654,9,1,5,24.828,2,8,5,7.07,8,4.72,5,4.895,2,6.336,2,6.191,5,12.518,2,15.744,0,0,1,6152dd16bb267c42ab0f19c7,NA,NA,NA,condition 1,2.939716667,FALSE,6.5,0.066666667,0.6,0.333333333,15,0.533333333,0.133333333,0.333333333,15
153,70.876,9,1,7,23.492,7,9,1,15.106,6,4.549,9,5.56,9,7.646,7,5.897,1,7.205,2,18.569,0,0,1,614b413065c09b504a425057,Polish,NA,NA,condition 1,30.41925,FALSE,7.5,0.058823529,0.529411765,0.411764706,17,0.529411765,0.411764706,0.058823529,17
154,43.76,1,5,9,35.838,5,1,9,11.578,6,12.194,7,6.486,8,8.645,5,13.875,1,21.453,2,38.897,0,1,0,613c26e64b62a02b49f56947,spanish,24,Male,condition 2,29.62738333,FALSE,6.5,0.333333333,0.066666667,0.6,15,0.066666667,0.333333333,0.6,15
155,30.817,5,1,7,21.595,4,8,4,5.025,7,6.373,5,4.928,9,5.32,5,4.683,1,9.923,2,15.03,0,0,1,5974ce5364b35a00019dd811,French,22,Male,condition 2,3.43155,FALSE,6,0.076923077,0.384615385,0.538461538,13,0.5,0.25,0.25,16
156,39.237,8,6,9,13.414,7,2,9,7.229,9,3.393,9,3.502,9,5.445,8,5.809,1,14.256,2,10.576,0,0,1,5e21e653699ac44cc38ec1b0,Russian,27,Female,condition 1,4.019483333,FALSE,9,0.260869565,0.347826087,0.391304348,23,0.111111111,0.388888889,0.5,18
157,29.322,8,2,8,29.656,8,2,3,10.484,7,12.655,9,6.088,9,10.144,2,12.623,3,14.718,2,10.885,0,0,1,5de016f1a63c7b0947c54c6b,Greek,29,Female,condition 1,4.872133333,FALSE,8,0.111111111,0.444444444,0.444444444,18,0.153846154,0.615384615,0.230769231,13
158,47.011,9,5,9,25.69,9,9,5,9.079,9,6.592,9,3.808,9,6.711,9,10.727,1,19.14,2,14.149,0,0,1,60fe7c857e049641f422a6f4,English,28,Female,condition 2,5.078383333,FALSE,9,0.217391304,0.391304348,0.391304348,23,0.391304348,0.391304348,0.217391304,23
